distance,target_velocity,target_acceleration,actual_duration,,,,
10,1000,700,0.20164754,,,,
10,1000,800,0.20148334,,,,
10,1000,900,0.20151058,,,,
10,1000,1000,0.20131982,,,,
15,100,100,0.62629836,,,,
15,100,200,0.41322922,,,,
15,100,300,0.41381632,,,,
15,100,400,0.201729,,,,
15,100,500,0.20147406,,,,
15,100,600,0.20164178,,,,
15,100,700,0.2016552,,,,
15,100,800,0.20130442,,,,
15,100,900,0.20161086,,,,
15,100,1000,0.20149718,,,,
15,200,100,0.6257464,,,,
15,200,200,0.413695,,,,
15,200,300,0.41412876,,,,
15,200,400,0.20175432,,,,
15,200,500,0.20174214,,,,
15,200,600,0.20152108,,,,
15,200,700,0.20168226,,,,
15,200,800,0.20156188,,,,
15,200,900,0.20174862,,,,
15,200,1000,0.20149562,,,,
15,300,100,0.62561346,,,,
15,300,200,0.4135396,,,,
15,300,300,0.4136027,,,,
15,300,400,0.20165328,,,,
15,300,500,0.20167616,,,,
15,300,600,0.20157426,,,,
15,300,700,0.20156268,,,,
15,300,800,0.20147894,,,,
15,300,900,0.20147984,,,,
15,300,1000,0.20143518,,,,
15,400,100,0.62522796,,,,
15,400,200,0.413932,,,,
15,400,300,0.41397842,,,,
15,400,400,0.20164858,,,,
15,400,500,0.2014124,,,,
15,400,600,0.20165572,,,,
15,400,700,0.20168958,,,,
15,400,800,0.2015927,,,,
15,400,900,0.2017105,,,,
15,400,1000,0.20153288,,,,
15,500,100,0.6253783,,,,
15,500,200,0.41404836,,,,
15,500,300,0.41355286,,,,
15,500,400,0.20155752,,,,
15,500,500,0.20157926,,,,
15,500,600,0.20144338,,,,
15,500,700,0.20152112,,,,
15,500,800,0.20161864,,,,
15,500,900,0.20142902,,,,
15,500,1000,0.20160018,,,,
15,600,100,0.62554358,,,,
15,600,200,0.41355522,,,,
15,600,300,0.41320262,,,,
15,600,400,0.2016756,,,,
15,600,500,0.20153504,,,,
15,600,600,0.2012834,,,,
15,600,700,0.20144676,,,,
15,600,800,0.20130822,,,,
15,600,900,0.2015696,,,,
15,600,1000,0.2016196,,,,
15,700,100,0.62617414,,,,
15,700,200,0.41325592,,,,
15,700,300,0.41338742,,,,
15,700,400,0.20145604,,,,
15,700,500,0.20165844,,,,
15,700,600,0.20154376,,,,
15,700,700,0.20137816,,,,
15,700,800,0.20156746,,,,
15,700,900,0.2020753,,,,
15,700,1000,0.20140236,,,,
15,800,100,0.62585262,,,,
15,800,200,0.413501,,,,
15,800,300,0.4138373,,,,
15,800,400,0.20159566,,,,
15,800,500,0.20154114,,,,
15,800,600,0.20184194,,,,
15,800,700,0.2017159,,,,
15,800,800,0.2015497,,,,
15,800,900,0.20145346,,,,
15,800,1000,0.20146676,,,,
15,900,100,0.62642664,,,,
15,900,200,0.414317,,,,
